Day,Weekday,MorningOTYear1,MorningOTYear2,MorningNTYear1,MorningNTYear2,EveningOTYear1,EveningOTYear2,EveningNTYear1,EveningNTYear2
25th Sunday after Trinity,Tuesday,Ecclesiasticus 38:1–14,,Acts 16:6–end,,Ecclesiasticus 38:24–end,,Acts 17:1–15,
25th Sunday after Trinity,Wednesday,Ecclesiasticus 39:1–11,,Acts 17:16–end,,Ecclesiasticus 39:13–end,,Acts 18:1–23,
25th Sunday after Trinity,Thursday,Ecclesiasticus 42:15–end,,Acts 18:24–19:7,,Ecclesiasticus 43:1–12,,Acts 19:8–20,
25th Sunday after Trinity,Friday,Ecclesiasticus 43:13–end,,Acts 19:21–end,,Ecclesiasticus 50:1–24,,Acts 20:1–16,
25th Sunday after Trinity,Saturday,Ecclesiasticus 51:1–12,,Acts 20:17–end,,Ecclesiasticus 51:13–end,,Acts 21:1–16,
26th Sunday after Trinity,,Wisdom 11:21–12:2,Ecclesiasticus 42:15–end,James (5:1–6) & 5:7–end,Luke 20:1–19,Ecclesiasticus 38:24–end,Ecclesiasticus 43:13–26,Matthew 23:1–22,2 Timothy 1:1–14 & (1:15–2:7)
26th Sunday after Trinity,Monday,Ecclesiastes 1,,Acts 21:17–36,,Ecclesiastes 2:1–23,,Acts 21:37–22:22,
26th Sunday after Trinity,Tuesday,Ecclesiastes 3:1–15,,Acts 22:23–23:11,,Ecclesiastes 3:16–4:6,,Acts 23:12–end,
26th Sunday after Trinity,Wednesday,Ecclesiastes 4:7–end,,Acts 24:1–23,,Ecclesiastes 5,,Acts 24:24–25:12,
26th Sunday after Trinity,Thursday,Ecclesiastes 6,,Acts 25:13–end,,Ecclesiastes 7:1–14,,Acts 26,
26th Sunday after Trinity,Friday,Ecclesiastes 7:15–end,,Acts 27:1–26,,Ecclesiastes 8,,Acts 27:27–end,
26th Sunday after Trinity,Saturday,Ecclesiastes 9,,Acts 28:1–15,,Ecclesiastes 10:5–18,,Acts 28:16–end,
Sunday next before Advent,,Ecclesiastes 11 & 12,,Hebrews 11:1–16,,Malachi 3:1–6 & 4,,Hebrews 11:17–12:2,
Sunday next before Advent,Monday,Wisdom 1,,Matthew 5:1–16,,Wisdom 2,,Revelation 1,
Sunday next before Advent,Tuesday,Wisdom 3:1–9,,Matthew 5:17–end,,Wisdom 4:7–end,,Revelation 2:1–17,
Sunday next before Advent,Wednesday,Wisdom 5:1–16,,Matthew 6:1–18,,Wisdom 6:1–21,,Revelation 2:18–3:6,
Sunday next before Advent,Thursday,Wisdom 7:15–8:4,,Matthew 6:19–end,,Wisdom 8:5–18,,Revelation 3:7–end,
Sunday next before Advent,Friday,Wisdom 8:21–9:end,,Matthew 7:1–14,,Wisdom 10:15–11:10,,Revelation 4,
Sunday next before Advent,Saturday,Wisdom 11:21–12:2,,Matthew 7:15–end,,Wisdom 12:21–21,,Revelation 5,
